valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,type_local
282000.0,101,4,maison
141270.0,48,2,appartement
117000.0,38,1,appartement
220000.0,80,3,maison
553200.0,144,4,maison
150000.0,21,1,appartement
184100.0,86,4,maison
139000.0,66,3,appartement
499600.0,166,5,maison
170000.0,62,3,appartement
353000.0,56,3,maison
293000.0,110,4,maison
165000.0,78,2,maison
188406.0,30,2,appartement
220000.0,33,1,appartement
300000.0,150,4,maison
210000.0,100,4,maison
230150.0,88,5,maison
110000.0,16,1,appartement
450000.0,90,4,maison
525500.0,68,3,appartement
136500.0,56,3,appartement
210000.0,36,2,appartement
115000.0,28,2,appartement
432700.0,80,4,maison
280000.0,97,4,maison
510000.0,120,5,maison
148000.0,24,3,maison
147000.0,30,1,appartement
200000.0,68,2,maison
125000.0,53,2,appartement
215000.0,72,4,maison
610000.0,132,4,maison
360000.0,113,5,maison
190000.0,74,3,appartement
180000.0,50,2,appartement
260000.0,41,3,appartement
148000.0,28,1,appartement
289000.0,104,5,maison
185000.0,39,3,appartement
85000.0,31,2,appartement
415000.0,82,3,maison
80000.0,31,2,appartement
256000.0,74,4,maison
175000.0,35,2,appartement
275000.0,36,2,appartement
110000.0,39,2,appartement
173000.0,31,2,appartement
389000.0,134,6,maison
98000.0,44,2,appartement
127000.0,63,3,maison
246000.0,107,5,maison
190000.0,50,3,maison
109000.0,42,2,appartement
280000.0,41,3,appartement
290000.0,73,4,maison
307900.0,80,5,maison
265000.0,83,4,maison
380000.0,75,4,maison
260000.0,50,2,maison
232980.0,52,3,maison
155000.0,55,2,appartement
353000.0,80,4,maison
225000.0,84,4,maison
286000.0,128,4,maison
229000.0,59,3,maison
239000.0,105,4,maison
78000.0,30,1,appartement
120000.0,20,1,appartement
155000.0,67,4,appartement
211121.0,31,1,appartement
450000.0,176,6,maison
110000.0,24,1,appartement
230000.0,84,4,maison
210960.0,28,2,appartement
103300.0,18,1,appartement
1700000.0,112,4,maison
186000.0,40,2,appartement
617815.0,185,6,maison
100000.0,29,1,appartement
168000.0,64,2,appartement
93500.0,25,2,appartement
290000.0,95,5,maison
280000.0,99,5,maison
354910.0,148,6,maison
340000.0,105,3,maison
90000.0,18,1,appartement
240000.0,75,5,appartement
300000.0,59,4,appartement
277820.0,45,2,appartement
56000.0,17,1,appartement
172000.0,42,2,appartement
170000.0,36,2,appartement
275000.0,70,3,maison
135000.0,42,3,appartement
183000.0,50,2,appartement
445000.0,69,3,appartement
260820.0,50,3,appartement
368000.0,70,3,maison
220000.0,48,2,maison
99000.0,45,1,appartement
599900.0,85,4,maison
270000.0,68,3,maison
379000.0,76,3,maison
768970.0,100,4,maison
262000.0,52,3,maison
155000.0,44,2,appartement
112000.0,25,1,appartement
440000.0,123,5,maison
203000.0,65,4,appartement
220000.0,70,3,maison
186000.0,27,1,appartement
240000.0,31,1,appartement
376300.0,62,3,appartement
124479.0,22,1,appartement
221100.0,60,3,appartement
423300.0,108,4,maison
277000.0,80,5,maison
519000.0,62,3,appartement
226000.0,62,4,appartement
320000.0,93,4,maison
214000.0,81,4,appartement
148000.0,54,3,maison
466950.0,97,7,maison
96000.0,22,1,appartement
85000.0,32,2,appartement
478000.0,67,3,appartement
180000.0,37,2,maison
230000.0,81,3,appartement
271700.0,37,3,appartement
380000.0,167,4,maison
125000.0,32,1,appartement
118000.0,36,2,appartement
255000.0,76,4,maison
275000.0,86,5,maison
410500.0,47,2,appartement
299000.0,30,1,appartement
134000.0,53,3,appartement
77000.0,28,2,appartement
665000.0,167,8,maison
134000.0,38,2,appartement
395000.0,122,4,maison
312760.0,100,5,maison
220000.0,90,4,maison
260000.0,76,4,maison
199198.0,74,4,appartement
265000.0,62,2,maison
255000.0,72,3,maison
240000.0,90,4,maison
108000.0,25,2,appartement
220000.0,28,1,appartement
470000.0,187,7,maison
430000.0,79,4,maison
312800.0,117,5,maison
221500.0,100,5,maison
159000.0,62,4,maison
194800.0,84,5,maison
220000.0,86,4,maison
156000.0,43,2,appartement
197149.0,54,3,maison
320000.0,73,4,maison
268000.0,113,4,maison
157000.0,62,4,appartement
230000.0,82,4,maison
84000.0,28,2,appartement
220000.0,67,4,appartement
220000.0,49,2,maison
308500.0,82,6,appartement
171000.0,50,3,maison
550000.0,161,7,maison
317809.5,97,5,appartement
269000.0,56,3,appartement
260000.0,70,4,maison
320000.0,56,2,appartement
230000.0,51,2,appartement
199100.0,53,3,appartement
209000.0,50,3,appartement
100000.0,15,1,appartement
174000.0,45,2,appartement
716600.0,124,5,maison
573040.0,137,7,maison
190000.0,46,2,appartement
250000.0,51,3,maison
190000.0,48,2,appartement
176000.0,27,1,appartement
220000.0,82,5,appartement
96000.0,28,1,appartement
82000.0,12,1,appartement
374000.0,102,5,maison
171950.0,51,3,appartement
460000.0,150,6,maison
220000.0,55,3,maison
286000.0,73,3,maison
246000.0,90,4,maison
425000.0,44,3,appartement
400000.0,135,5,maison
345000.0,108,6,maison
152000.0,50,3,appartement
350000.0,75,5,maison
297000.0,76,5,maison
185000.0,39,2,appartement
132000.0,51,3,appartement
350000.0,38,2,appartement
245340.0,43,3,appartement
195000.0,62,3,appartement
250000.0,70,4,maison
181550.0,64,4,appartement
169000.0,54,3,maison
104000.0,16,1,appartement
218000.0,50,3,appartement
128000.0,35,2,appartement
220000.0,61,4,maison
128000.0,22,2,appartement
222000.0,76,3,maison
215000.0,55,3,maison
121510.0,23,1,appartement
192000.0,50,3,maison
240000.0,75,4,appartement
182000.0,56,3,appartement
269000.0,73,3,maison
