id_mutation,valeur_fonciere,surface_reelle_bati,prix_m2,nombre_pieces_principales,type_local,nom_commune,nom_iris,code_commune,code_departement,code_iris,id_parcelles,longitude,latitude,date_mutation
2019-1064422,156000.0,19,8210,1,appartement,Paris 3e Arrondissement,Enfants Rouges 3,75103,75,751031003,75103000AK0097,2.361791,48.861877,2019-07-03
2019-1080094,495000.0,53,9339,3,appartement,Paris 15e Arrondissement,Saint-Lambert 10,75115,75,751155710,75115000BJ0016,2.283552,48.83661,2019-04-30
2019-1078635,430000.0,49,8775,3,appartement,Paris 15e Arrondissement,Saint-Lambert 24,75115,75,751155724,75115000BT0039,2.298475,48.841206,2019-01-17
2019-1069949,216000.0,30,7200,3,appartement,Paris 10e Arrondissement,Hopital Saint-Louis 3,75110,75,751104003,75110000BJ0070,2.371124,48.87201,2019-04-17
2019-1093709,500000.0,45,11111,2,appartement,Paris 18e Arrondissement,Grandes Carrieres 12,75118,75,751186912,75118000AV0086,2.338148,48.89054,2019-07-29
2019-1070493,243763.0,22,11080,1,appartement,Paris 10e Arrondissement,Saint-Vincent de Paul 2,75110,75,751103702,75110000AG0038,2.363561,48.880108,2019-06-20
2018-1374449,298000.0,32,9312,2,appartement,Paris 10e Arrondissement,Hopital Saint-Louis 1,75110,75,751104001,75110000BK0024,2.375775,48.872368,2018-07-27
2018-1376441,155000.0,16,9687,1,appartement,Paris 11e Arrondissement,Saint-Ambroise 11,75111,75,751114211,75111000BA0016,2.3754880000000003,48.86277000000001,2018-01-17
2018-1392365,518150.0,56,9252,2,appartement,Paris 16e Arrondissement,Muette 21,75116,75,751166221,75116000CG0018,2.2872790000000003,48.858242,2018-05-03
2019-1075758,442000.0,48,9208,3,appartement,Paris 13e Arrondissement,Maison Blanche 17,75113,75,751135117,75113000EH0017,2.342654,48.826496,2019-03-19
2018-1386018,426000.0,24,17750,2,appartement,Paris 14e Arrondissement,Petit Montrouge 14,75114,75,751145514,75114000CL0068,2.328476,48.83266,2018-11-12
2018-1404060,60000.0,11,5454,1,appartement,Paris 20e Arrondissement,Charonne 3,75120,75,751208003,75120000DV0024,2.402889,48.848766,2018-01-24
2019-1093283,211000.0,25,8440,1,appartement,Paris 18e Arrondissement,Grandes Carrieres 5,75118,75,751186905,75118000AO0027,2.326222,48.886806,2019-07-02
2019-1100104,159000.0,16,9937,1,appartement,Paris 20e Arrondissement,Pere Lachaise 15,75120,75,751207915,75120000CD0053,2.400162,48.868423,2019-11-06
2018-1376528,700900.0,65,10783,3,appartement,Paris 11e Arrondissement,Saint-Ambroise 2,75111,75,751114202,75111000AX0066,2.384143,48.86268,2018-01-30
2019-1067724,920000.0,58,15862,3,appartement,Paris 6e Arrondissement,Notre Dame des Champs 9,75106,75,751062309,75106000BE0004,2.323658,48.849686,2019-07-08
2019-1072211,1200000.0,95,12631,5,appartement,Paris 9e Arrondissement,Chaussee d'Antin 7,75109,75,751093407,75109000AN0031,2.338484,48.876682,2019-11-07
2019-1065266,1750000.0,92,19021,2,appartement,Paris 1er Arrondissement,Place Vendome 2,75101,75,751010402,75101000AY0061,2.331474,48.865578,2019-10-10
2019-1085865,466200.0,38,12268,2,appartement,Paris 16e Arrondissement,Chaillot 4,75116,75,751166404,75116000FL0022,2.288069,48.86654,2019-09-26
2018-1405600,419300.0,43,9751,3,appartement,Paris 20e Arrondissement,Pere Lachaise 14,75120,75,751207914,75120000CE0117,2.3975150000000003,48.8665,2018-05-16
2018-1388726,297650.0,28,10630,2,appartement,Paris 15e Arrondissement,Javel 19,75115,75,751156019,75115000EK0053,2.289376,48.844624,2018-07-13
2018-1406247,118000.0,12,9833,1,appartement,Paris 20e Arrondissement,Pere Lachaise 16,75120,75,751207916,75120000BT0035,2.397498,48.869106,2018-06-27
2018-1397596,232000.0,20,11600,1,appartement,Paris 17e Arrondissement,Batignolles 8,75117,75,751176708,75117000CJ0078,2.317523,48.883217,2018-07-25
2018-1376393,250000.0,32,7812,1,appartement,Paris 12e Arrondissement,Bel-Air 2,75112,75,751124502,75112000AT0051,2.407172,48.83772,2018-01-19
2018-1387163,225000.0,34,6617,2,appartement,Paris 15e Arrondissement,Javel 12,75115,75,751156012,75115000ER0046,2.280179,48.842197,2018-03-23
2018-1385518,266100.0,29,9175,2,appartement,Paris 14e Arrondissement,Plaisance 15,75114,75,751145615,75114000DN0085,2.316656,48.83338,2018-08-31
2019-1066314,220800.0,10,22080,1,appartement,Paris 7e Arrondissement,Saint-Thomas d'Aquin 6,75107,75,751072506,75107000AC0003,2.328614,48.858273,2019-02-21
2018-1371483,700000.0,47,14893,1,appartement,Paris 6e Arrondissement,Notre Dame des Champs 9,75106,75,751062309,75106000BE0050,2.325948,48.850372,2018-10-26
